Model,RMSE,R2
Baseline RF,0.11497340083688842,0.9708697019634388
Optimized RF,0.10939855889133128,0.9736261595401707
Gradient Boosting,0.11791930687273994,0.9693577953976918
Ridge,0.11883307138054218,0.9688810584536913
Lasso,0.1187685017114178,0.9689148671204857
